the_geom,postcode,id,name,building_name,street_name,suburb,state,cartodb_id,address,phone_number,latitude,longitude,active,ticket_types_sold,comments,opal_id
0101000020E6100000BEF45ECB07F36240C4CEA79DC08140C0,2283,41374,The Lucky Charm Toronto,,66 The Boulevarde,Toronto,NSW,1671,"66 The Boulevarde, Toronto NSW 2283",,-33.013690669,151.594701467,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41374
0101000020E6100000682FE20880EA62407B4E17B5FDB840C0,2250,41386,Point Clare Pharmacy,,61 Brisbane Water Dr,Point Clare,NSW,1672,"61 Brisbane Water Dr, Point Clare NSW 2250",02 4322 0277,-33.445242535,151.328129236,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41386
0101000020E6100000CC19245974D962405F49BAB2403F41C0,2530,41409,Coles Dapto,Dapto Mall,75-87 Princes Hwy,Dapto,NSW,1673,"Dapto Mall, 75-87 Princes Hwy, Dapto NSW 2530",02 4261 4111,-34.494161931,150.795452662,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41409
0101000020E610000030C4381FB1F46240BDAB9085377040C0,2287,41426,Coles Fletcher,,221 Minmi Rd,Fletcher,NSW,1674,"221 Minmi Rd, Fletcher NSW 2287",,-32.876694389,151.646621333,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41426
0101000020E6100000521A71CE46DA6240C5D8BB9F10E240C0,2770,41445,Coles Mt Druitt,Westfield Plaza,Cnr Carlisle Ave & Luxford Rd,Mt Druitt,NSW,1675,"Westfield Plaza, Cnr Carlisle Ave & Luxford Rd, Mt Druitt NSW 2770",02 9675 2688,-33.766132323,150.821143361,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41445
0101000020E610000025C9012857F06240D56797079A9B40C0,2262,41484,Coles San Remo,,17-35 Pacific Hwy,Sam Remo,NSW,1676,"17-35 Pacific Hwy, San Remo NSW 2262",,-33.215638112,151.510639194,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41484
0101000020E6100000FC031AA97DDD6240133F91EA652841C0,2515,41505,Coles Thirroul,,282 Lawrence Hargrave Dr ,Thirroul,NSW,1677,"282 Lawrence Hargrave Dr, Thirroul NSW 2515",02 4267 1587,-34.315610238,150.921589423,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41505
0101000020E6100000D2888A5271DC624005DF85C4353E41C0,2502,41524,Coles Warrawong,Warrawong Shopping Centre,Cnr Northcliffe Dr & King St,Warrawong,NSW,1678,"Warrawong Shopping Centre, Cnr Northcliffe Dr & King St, Warrawong NSW 2502",02 4276 1355,-34.486015859,150.888833304,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41524
0101000020E6100000F14009D873D3624065D35B4DE8D540C0,2777,41534,Coles Winmalee,,32 - 44 White Cross Rd,Winmalee,NSW,1679,"32 - 44 White Cross Rd, Winmalee NSW 2777",02 4754 8000,-33.6711518,150.6078911,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41534
0101000020E61000008316F12141EB624010A97188DBB340C0,2250,41538,Coles Wyoming,Wyoming Village Shopping Centre,Pacific Hwy and Kinarra Ave,Wyoming,NSW,1680,"Wyoming Village Shopping Centre, Pacific Hwy and Kinarra Ave, Wyoming NSW 2250",02 4328 4313,-33.405137115,151.351700755,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41538
