mode,date,tap,time,count
bus,20160810,on,00:15,376
bus,20160810,on,13:00,11349
bus,20160810,on,02:45,114
bus,20160810,on,23:30,694
bus,20160810,on,17:45,19620
bus,20160810,on,10:45,9751
bus,20160810,on,05:15,1932
bus,20160810,on,20:00,5088
bus,20160810,on,12:30,10749
bus,20160810,on,07:00,18078
bus,20160810,on,14:15,12828
bus,20160810,on,08:45,20229
bus,20160810,on,23:45,685
bus,20160810,on,-1,136
bus,20160810,on,13:15,10921
bus,20160810,on,11:45,9535
bus,20160810,on,22:45,1508
bus,20160810,on,05:00,1245
bus,20160810,on,16:15,18171
bus,20160810,on,01:15,156
bus,20160810,on,14:00,12169
bus,20160810,on,21:15,3739
bus,20160810,on,07:30,32787
bus,20160810,on,06:30,9512
bus,20160810,on,01:00,277
bus,20160810,on,15:00,27960
bus,20160810,on,16:00,19531
bus,20160810,on,23:15,1037
bus,20160810,on,12:15,10618
bus,20160810,on,21:00,3988
bus,20160810,on,04:30,347
bus,20160810,on,05:30,2823
bus,20160810,on,03:15,97
bus,20160810,on,14:30,16675
bus,20160810,on,18:15,16693
bus,20160810,on,06:45,12038
bus,20160810,on,19:00,9629
bus,20160810,on,12:00,10505
bus,20160810,on,09:45,11317
bus,20160810,on,23:00,1259
bus,20160810,on,00:45,264
bus,20160810,on,04:00,128
bus,20160810,on,17:30,21014
bus,20160810,on,10:15,10379
bus,20160810,on,08:30,28454
bus,20160810,on,03:00,119
bus,20160810,on,21:30,2937
bus,20160810,on,15:45,20027
bus,20160810,on,18:00,19636
bus,20160810,on,20:30,3887
bus,20160810,on,19:15,7540
bus,20160810,on,08:00,38668
bus,20160810,on,02:00,184
bus,20160810,on,13:45,10682
bus,20160810,on,17:00,21517
bus,20160810,on,09:30,12751
bus,20160810,on,22:30,1752
bus,20160810,on,04:15,44
bus,20160810,on,03:30,105
bus,20160810,on,10:00,10700
bus,20160810,on,18:30,13555
bus,20160810,on,20:45,3622
bus,20160810,on,07:45,37699
bus,20160810,on,06:00,5439
bus,20160810,on,05:45,3958
bus,20160810,on,08:15,35097
bus,20160810,on,11:00,10165
bus,20160810,on,02:15,175
bus,20160810,on,22:00,2623
bus,20160810,on,17:15,22355
bus,20160810,on,10:30,10592
bus,20160810,on,15:30,27045
bus,20160810,on,14:45,18150
bus,20160810,on,00:30,279
bus,20160810,on,19:30,6148
bus,20160810,on,06:15,7486
bus,20160810,on,01:45,169
bus,20160810,on,16:45,18425
bus,20160810,on,11:15,10340
bus,20160810,on,09:15,14664
bus,20160810,on,22:15,2369
bus,20160810,on,21:45,2548
bus,20160810,off,02:30,179
bus,20160810,off,13:30,10401
bus,20160810,off,15:15,21508
bus,20160810,off,12:45,10209
bus,20160810,off,00:00,558
bus,20160810,off,16:30,17201
bus,20160810,off,04:45,347
bus,20160810,off,03:45,109
bus,20160810,off,19:45,6161
bus,20160810,off,01:30,229
bus,20160810,off,07:15,13731
bus,20160810,off,09:00,21095
bus,20160810,off,18:45,15538
bus,20160810,off,11:30,9817
bus,20160810,off,20:15,4898
bus,20160810,off,00:15,529
bus,20160810,off,13:00,10067
bus,20160810,off,02:45,151
bus,20160810,off,23:30,906
bus,20160810,off,17:45,20313
bus,20160810,off,10:45,10526
bus,20160810,off,05:15,1242
bus,20160810,off,20:00,5461
bus,20160810,off,12:30,10473
bus,20160810,off,07:00,10238
bus,20160810,off,14:15,11016
bus,20160810,off,08:45,31826
bus,20160810,off,23:45,790
bus,20160810,off,-1,60360
bus,20160810,off,13:15,10374
bus,20160810,off,11:45,10090
bus,20160810,off,22:45,1861
bus,20160810,off,05:00,728
bus,20160810,off,16:15,17854
bus,20160810,off,01:15,218
bus,20160810,off,14:00,10002
bus,20160810,off,21:15,3635
bus,20160810,off,07:30,19717
bus,20160810,off,06:30,6651
bus,20160810,off,01:00,202
bus,20160810,off,15:00,16628
bus,20160810,off,16:00,19623
bus,20160810,off,23:15,1255
bus,20160810,off,12:15,9434
bus,20160810,off,21:00,3672
bus,20160810,off,04:30,157
bus,20160810,off,05:30,1801
bus,20160810,off,03:15,128
bus,20160810,off,14:30,12225
bus,20160810,off,18:15,20513
bus,20160810,off,06:45,8931
bus,20160810,off,19:00,12654
bus,20160810,off,12:00,9374
bus,20160810,off,09:45,13365
bus,20160810,off,23:00,1493
bus,20160810,off,00:45,234
bus,20160810,off,04:00,115
bus,20160810,off,17:30,19163
bus,20160810,off,10:15,10047
bus,20160810,off,08:30,36061
bus,20160810,off,03:00,137
bus,20160810,off,21:30,3516
bus,20160810,off,15:45,22846
bus,20160810,off,18:00,20367
bus,20160810,off,20:30,4048
bus,20160810,off,19:15,9914
bus,20160810,off,08:00,31604
bus,20160810,off,02:00,147
bus,20160810,off,13:45,10520
bus,20160810,off,17:00,16931
bus,20160810,off,09:30,14785
bus,20160810,off,22:30,2219
bus,20160810,off,04:15,178
bus,20160810,off,03:30,112
bus,20160810,off,10:00,10883
bus,20160810,off,18:30,18412
bus,20160810,off,20:45,3689
bus,20160810,off,07:45,26174
bus,20160810,off,06:00,3398
bus,20160810,off,05:45,2874
bus,20160810,off,08:15,36236
bus,20160810,off,11:00,9258
bus,20160810,off,02:15,159
bus,20160810,off,22:00,2576
bus,20160810,off,17:15,17642
bus,20160810,off,10:30,9996
bus,20160810,off,15:30,22963
bus,20160810,off,14:45,14770
bus,20160810,off,00:30,347
bus,20160810,off,19:30,8270
bus,20160810,off,06:15,4948
bus,20160810,off,01:45,203
bus,20160810,off,16:45,16849
bus,20160810,off,11:15,9340
bus,20160810,off,09:15,17007
bus,20160810,off,22:15,2545
bus,20160810,off,21:45,2891
bus,20160811,on,02:30,240
bus,20160811,on,13:30,10778
bus,20160811,on,15:15,29352
bus,20160811,on,12:45,10558
bus,20160811,on,00:00,574
bus,20160811,on,16:30,18165
bus,20160811,on,04:45,669
bus,20160811,on,03:45,136
bus,20160811,on,19:45,5803
bus,20160811,on,01:30,254
bus,20160811,on,07:15,24982
bus,20160811,on,09:00,16243
bus,20160811,on,18:45,11108
bus,20160811,on,11:30,10172
bus,20160811,on,20:15,4799
bus,20160811,on,00:15,428
bus,20160811,on,13:00,10864
bus,20160811,on,02:45,153
bus,20160811,on,23:30,944
bus,20160811,on,17:45,19241
bus,20160811,on,10:45,10005
bus,20160811,on,05:15,1888
bus,20160811,on,20:00,5629
bus,20160811,on,12:30,10667
bus,20160811,on,07:00,18215
bus,20160811,on,14:15,12662
bus,20160811,on,08:45,20385
bus,20160811,on,23:45,726
bus,20160811,on,-1,173
bus,20160811,on,13:15,10884
bus,20160811,on,11:45,9595
bus,20160811,on,22:45,1802
bus,20160811,on,05:00,1232
bus,20160811,on,16:15,18509
bus,20160811,on,01:15,219
bus,20160811,on,14:00,12504
bus,20160811,on,21:15,4262
bus,20160811,on,07:30,32656
bus,20160811,on,06:30,9807
bus,20160811,on,01:00,309
bus,20160811,on,15:00,27169
bus,20160811,on,16:00,19397
bus,20160811,on,23:15,1214
bus,20160811,on,12:15,10631
bus,20160811,on,21:00,4964
bus,20160811,on,04:30,388
bus,20160811,on,05:30,2851
bus,20160811,on,03:15,141
bus,20160811,on,14:30,15266
bus,20160811,on,18:15,15920
bus,20160811,on,06:45,12058
bus,20160811,on,19:00,9279
bus,20160811,on,12:00,10503
bus,20160811,on,09:45,11163
bus,20160811,on,23:00,1405
bus,20160811,on,00:45,329
bus,20160811,on,04:00,139
bus,20160811,on,17:30,21067
bus,20160811,on,10:15,10793
bus,20160811,on,08:30,28372
bus,20160811,on,03:00,225
bus,20160811,on,21:30,3514
bus,20160811,on,15:45,20272
bus,20160811,on,18:00,18963
bus,20160811,on,20:30,4592
bus,20160811,on,19:15,7986
bus,20160811,on,08:00,38473
bus,20160811,on,02:00,218
bus,20160811,on,13:45,10504
bus,20160811,on,17:00,22058
bus,20160811,on,09:30,13219
bus,20160811,on,22:30,1963
bus,20160811,on,04:15,38
bus,20160811,on,03:30,171
bus,20160811,on,10:00,10899
bus,20160811,on,18:30,13523
bus,20160811,on,20:45,4173
bus,20160811,on,07:45,37839
bus,20160811,on,06:00,5236
bus,20160811,on,05:45,3974
bus,20160811,on,08:15,34603
bus,20160811,on,11:00,10333
bus,20160811,on,02:15,181
bus,20160811,on,22:00,2667
bus,20160811,on,17:15,21679
bus,20160811,on,10:30,10786
bus,20160811,on,15:30,27309
bus,20160811,on,14:45,18069
bus,20160811,on,00:30,362
bus,20160811,on,19:30,6282
bus,20160811,on,06:15,7345
bus,20160811,on,01:45,194
bus,20160811,on,16:45,18631
bus,20160811,on,11:15,9753
bus,20160811,on,09:15,14094
bus,20160811,on,22:15,2555
bus,20160811,on,21:45,3243
bus,20160811,off,02:30,229
bus,20160811,off,13:30,10402
bus,20160811,off,15:15,21350
bus,20160811,off,12:45,10103
bus,20160811,off,00:00,704
bus,20160811,off,16:30,16919
bus,20160811,off,04:45,390
bus,20160811,off,03:45,168
bus,20160811,off,19:45,6639
bus,20160811,off,01:30,251
bus,20160811,off,07:15,14172
bus,20160811,off,09:00,21837
bus,20160811,off,18:45,15654
bus,20160811,off,11:30,9800
